tconst,primaryTitle,startYear,worldwide,domestic,log_worldwide,log_domestic,dom_r,dom_g,dom_b,avg_brightness,avg_saturation,orange_teal_score,face_count,face_density,release_month,release_window
tt5005496,Esa sensación,2016,2310,,7.745435610274381,,252,252,251,222.99,59.4,0.1787,0,0.0,1,Other
tt10545704,"Farewell, Mr. Haffmann",2021,6419026,,15.674777106547726,,10,5,5,64.29,86.34,0.4021,3,0.08,11,Other
tt8747596,What You Gonna Do When the World's on Fire?,2018,44290,4672.0,10.698536775122504,8.449556542700426,22,23,20,111.26,26.5,0.0008,0,0.0,9,Summer
tt14963742,Sumotherhood,2023,3074518,,14.938659024223211,,194,119,175,185.02,108.42,0.0423,14,0.3733,10,Other
tt6070832,Sakurada Reset Part I,2017,2913,,7.97728198675515,,221,236,245,206.54,57.9,0.5709,8,0.2133,3,Other
tt13256256,Confessions of Felix Krull,2021,192139,,12.16597955196373,,17,12,11,81.71,106.7,0.3161,3,0.08,9,Other
tt8028628,Quiet Comes the Dawn,2019,1028949,,13.844049422770697,,18,9,16,58.23,155.6,0.016,1,0.028,1,Other
tt11027850,Hacked,2020,246996,,12.417131469787366,,9,12,39,75.44,155.65,0.0408,3,0.08,2,Other
tt30970235,Article 370,2024,13222021,1088790.0,16.39739433076779,13.900578464304331,34,33,25,69.93,96.44,0.3725,1,0.0267,2,Other
tt12223548,The Bezonians,2021,18753,,9.83916234197957,,23,15,24,147.39,156.46,0.2893,5,0.1333,11,Other
tt15364972,Sanctuary,2022,581423,535201.0,13.273235545924694,13.190399524709951,63,35,36,119.68,131.35,0.2008,1,0.0267,9,Summer
tt21482312,Hesitation Wound,2023,53957,,10.895961245142573,,181,18,13,132.91,226.91,0.0169,1,0.0267,9,Other
tt5810776,Proof of Innocence,2016,8624967,,15.970171810729887,,22,21,21,93.02,70.09,0.1608,2,0.0533,5,Other
tt23016388,Coldplay Music of The Spheres Live Broadcast from Buenos Aires,2022,2638057,1015000.0,14.785553598371,13.830400155679214,47,35,56,116.82,103.58,0.0636,4,0.1067,10,Awards
tt12689248,The Commando,2022,30988,,10.341387581787457,,35,32,34,105.7,132.0,0.2787,2,0.0533,1,Other
tt14260876,Heidi - Rescue of the Lynx,2025,5309311,,15.484972817968622,,37,124,185,160.93,151.01,0.3138,1,0.0281,6,Other
tt10749664,Citizen Rosi,2019,4078034,,15.221125812718256,,5,4,4,65.82,43.98,0.0252,11,0.2933,9,Other
tt29451310,Por tus muertos,2024,294398,,12.59269126909196,,22,13,19,109.23,116.44,0.1894,4,0.1067,3,Other
tt11647720,Sima's Song,2024,1587,,7.370230641807081,,5,18,27,65.1,179.15,0.3293,2,0.0533,10,Other
tt8085790,Little,2019,49000667,40860481.0,17.707344488635037,17.52567394366205,240,243,247,151.4,112.04,0.1725,3,0.08,4,Spring
tt7125774,Balloon,2018,11799591,34222.0,16.283575512566934,10.44065321163396,4,33,53,117.04,203.87,0.452,0,0.0,9,Awards
tt12358208,"Mirror, Mirror",2022,83779,,11.335949594501026,,249,180,173,219.78,79.55,0.1971,6,0.16,5,Other
tt11623854,Varayan,2022,7448,,8.915835074176277,,20,10,15,96.14,76.66,0.1903,1,0.0267,5,Other
tt33306544,"L'amore, in teoria",2025,173507,,12.063978986816126,,252,251,249,164.46,62.41,0.1939,3,0.08,4,Other
tt14626814,Kim Min-young of the Report Card,2021,19638,,9.885272664115224,,107,125,132,131.89,58.53,0.3242,2,0.0533,5,Other
tt13884144,The Seven Deadly Sins: Cursed by Light,2021,1094673,,13.905967160011288,,59,18,11,87.11,156.17,0.4026,1,0.0267,7,Other
tt26009546,Before Nikkah,2025,6679,,8.806873266530692,,67,57,62,108.11,80.98,0.1271,2,0.0533,6,Other
tt7155178,Over Drive,2018,3317996,,15.014871845572983,,17,18,37,147.32,159.73,0.2728,7,0.1867,11,Other
tt27720297,Las tierras del cielo,2023,152,,5.030437921392435,,169,155,151,196.47,27.87,0.5009,0,0.0,3,Other
tt22775326,La prima regola,2022,9497,,9.158836529109069,,11,11,16,59.98,81.06,0.1834,9,0.24,12,Other
tt15399616,Ayisha,2023,91133,,11.420086229866074,,250,241,204,200.83,100.6,0.173,1,0.0267,1,Other
tt26862490,Patria y vida: The Power of Music,2023,56280,,10.938112279371822,,34,34,34,83.75,3.04,0.0034,1,0.0267,3,Other
tt10709404,Namma Veettu Pillai,2019,275752,,12.527260816476332,,219,223,195,174.48,117.32,0.1397,23,0.6133,9,Other
tt28620587,I Am: Celine Dion,2024,292987,283358.0,12.5878869315291,12.554469923930816,1,1,1,56.93,8.0,0.003,0,0.0,6,Summer
tt28055106,Kaina of the Great Snow Sea: Star Sage,2023,318221,,12.670504531402187,,71,71,77,119.83,66.27,0.2615,0,0.0,6,Other
tt28999532,Beezel,2024,35642,,10.481308053126398,,39,28,36,106.91,126.84,0.2688,0,0.0,9,Other
tt8115900,The Bad Guys,2022,250387888,97459240.0,19.338521829407096,18.394944807538927,252,251,243,178.06,76.07,0.1496,0,0.0,3,Spring
tt13395378,Nación,2020,20541,,9.93022684972575,,77,49,26,85.65,108.93,0.1952,7,0.1867,11,Other
tt7514302,Bhalwan Singh,2017,43592,,10.682651865988806,,234,216,184,191.0,99.68,0.1512,1,0.0267,10,Other
tt20601506,Alien Invasion,2022,47873,,10.776327838536336,,11,13,12,88.24,56.68,0.151,1,0.0267,4,Other
tt8306326,The Widowed Witch,2017,100318,,11.516110387714992,,22,24,28,69.39,74.79,0.2637,1,0.0267,7,Other
tt28494743,Enzo Jannacci: Vengo anch'io,2023,154477,,11.947806970358826,,12,8,8,89.52,104.88,0.1989,1,0.0267,8,Other
tt14362112,Trolls Band Together,2023,210231405,103270155.0,19.16371941533218,18.45285898624972,69,31,61,137.25,137.5,0.0465,0,0.0,10,Awards
tt27922369,Johnny Keep Walking!,2023,159776483,,18.889286421518825,,141,157,151,140.06,77.54,0.277,3,0.08,12,Other
tt21819780,Sabakan,2022,54910,,10.913468971726102,,229,223,203,198.74,119.65,0.262,6,0.16,8,Other
tt36049393,Seventeen: Right Here - World Tour in Cinemas,2025,453261,,13.024225603721677,,16,56,96,102.74,166.62,0.1097,11,0.2933,4,Spring
tt29579024,Picnic,2023,12980,,9.471242028892997,,218,221,224,190.27,58.64,0.1492,3,0.08,10,Other
tt14578032,God's Not Dead: We the People,2021,1170367,1170367.0,13.972828787234304,13.972828787234304,51,35,26,122.42,108.64,0.7328,0,0.0,5,Awards
tt11777952,The Exit of the Trains,2020,2513,,7.829630389150193,,240,232,229,158.9,28.43,0.6463,0,0.0,2,Other
tt6387506,The Violin Player,2018,1509,,7.31986492980897,,132,25,23,141.18,194.59,0.3762,4,0.1067,1,Other
tt8386182,National Theatre Live: Macbeth,2018,106136,97857.0,11.57248599142619,11.491272727274776,0,0,0,53.72,0.01,0.0,2,0.0564,5,Summer
tt9603208,Mission: Impossible - The Final Reckoning,2025,598767057,197413515.0,20.210383195636403,19.100811152731133,20,17,16,71.63,47.23,0.4235,0,0.0,5,Summer
tt30442596,N'avoue jamais,2024,6934354,,15.751998600916872,,209,162,126,184.39,157.23,0.5159,2,0.0533,4,Other
